"claim_month","claim_type","claim_count","total_reimbursed"
"2008-11",Inpatient,6,142000
"2008-12",Inpatient,680,9485100
"2008-12",Outpatient,2019,1684880
"2009-01",Inpatient,3731,37196340
"2009-01",Outpatient,45851,12896290
"2009-02",Inpatient,3375,33106010
"2009-02",Outpatient,41416,11668450
"2009-03",Inpatient,3587,36084550
"2009-03",Outpatient,46047,12874590
"2009-04",Inpatient,3427,33965270
"2009-04",Outpatient,44657,12643750
"2009-05",Inpatient,3569,35942170
"2009-05",Outpatient,45690,13068380
"2009-06",Inpatient,3467,35513900
"2009-06",Outpatient,43933,12591640
"2009-07",Inpatient,3371,34753750
"2009-07",Outpatient,44677,12907380
"2009-08",Inpatient,3329,33917060
"2009-08",Outpatient,44181,12636120
"2009-09",Inpatient,3238,31858090
"2009-09",Outpatient,41662,11984760
"2009-10",Inpatient,3232,32470780
"2009-10",Outpatient,41872,12108960
"2009-11",Inpatient,3014,30832740
"2009-11",Outpatient,39082,11356400
"2009-12",Inpatient,2448,23029260
"2009-12",Outpatient,36650,9824520
