"Provider","claim_count","total_reimbursed","avg_claim_value","overall_avg_claim","review_flag"
PRV52537,1,57000,57000.0,1740.6793685691955,Review
PRV57080,1,57000,57000.0,1740.6793685691955,Review
PRV57399,1,57000,57000.0,1740.6793685691955,Review
PRV53033,2,75000,37500.0,1740.6793685691955,Review
PRV52804,1,36000,36000.0,1740.6793685691955,Review
PRV52696,3,96000,32000.0,1740.6793685691955,Review
PRV55067,1,29000,29000.0,1740.6793685691955,Review
PRV55431,2,58000,29000.0,1740.6793685691955,Review
PRV56903,2,57000,28500.0,1740.6793685691955,Review
PRV57290,2,55000,27500.0,1740.6793685691955,Review
PRV52458,1,27000,27000.0,1740.6793685691955,Review
PRV51232,1,26000,26000.0,1740.6793685691955,Review
PRV55133,2,50000,25000.0,1740.6793685691955,Review
PRV55131,2,47000,23500.0,1740.6793685691955,Review
PRV56286,1,23000,23000.0,1740.6793685691955,Review
PRV51805,3,67000,22333.333333333332,1740.6793685691955,Review
PRV53220,5,110000,22000.0,1740.6793685691955,Review
PRV52449,6,126000,21000.0,1740.6793685691955,Review
PRV54297,8,168000,21000.0,1740.6793685691955,Review
PRV55586,2,42000,21000.0,1740.6793685691955,Review
PRV55144,2,41000,20500.0,1740.6793685691955,Review
PRV55811,2,41000,20500.0,1740.6793685691955,Review
PRV52445,5,102000,20400.0,1740.6793685691955,Review
PRV56918,7,142000,20285.714285714286,1740.6793685691955,Review
PRV51136,1,20000,20000.0,1740.6793685691955,Review
PRV56896,3,60000,20000.0,1740.6793685691955,Review
PRV57082,5,100000,20000.0,1740.6793685691955,Review
PRV54876,3,58000,19333.333333333332,1740.6793685691955,Review
PRV51237,1,19000,19000.0,1740.6793685691955,Review
PRV55137,2,38000,19000.0,1740.6793685691955,Review
PRV56340,3,57000,19000.0,1740.6793685691955,Review
PRV55147,6,112200,18700.0,1740.6793685691955,Review
PRV54502,3,55000,18333.333333333332,1740.6793685691955,Review
PRV52286,5,90000,18000.0,1740.6793685691955,Review
PRV56341,1,18000,18000.0,1740.6793685691955,Review
PRV57145,4,70000,17500.0,1740.6793685691955,Review
PRV54637,13,226000,17384.615384615383,1740.6793685691955,Review
PRV53667,9,155000,17222.222222222223,1740.6793685691955,Review
PRV51207,3,51000,17000.0,1740.6793685691955,Review
PRV55124,9,152000,16888.88888888889,1740.6793685691955,Review
PRV57398,3,50600,16866.666666666668,1740.6793685691955,Review
PRV51919,6,101000,16833.333333333332,1740.6793685691955,Review
PRV51238,8,132000,16500.0,1740.6793685691955,Review
PRV53970,4,65200,16300.0,1740.6793685691955,Review
PRV56017,13,210060,16158.461538461539,1740.6793685691955,Review
PRV55382,8,129000,16125.0,1740.6793685691955,Review
PRV57094,3,48000,16000.0,1740.6793685691955,Review
PRV51100,5,78000,15600.0,1740.6793685691955,Review
PRV54204,4,62200,15550.0,1740.6793685691955,Review
PRV56548,8,124000,15500.0,1740.6793685691955,Review
PRV56395,7,107000,15285.714285714286,1740.6793685691955,Review
PRV57635,18,275000,15277.777777777777,1740.6793685691955,Review
PRV52815,26,390000,15000.0,1740.6793685691955,Review
PRV53509,1,15000,15000.0,1740.6793685691955,Review
PRV55387,6,90000,15000.0,1740.6793685691955,Review
PRV52176,21,312000,14857.142857142857,1740.6793685691955,Review
PRV57024,9,132700,14744.444444444445,1740.6793685691955,Review
PRV52278,16,235000,14687.5,1740.6793685691955,Review
PRV57096,11,160000,14545.454545454546,1740.6793685691955,Review
PRV55661,14,202000,14428.57142857143,1740.6793685691955,Review
PRV56121,16,229000,14312.5,1740.6793685691955,Review
PRV54680,18,257000,14277.777777777777,1740.6793685691955,Review
PRV56802,13,185000,14230.76923076923,1740.6793685691955,Review
PRV54720,9,127000,14111.111111111111,1740.6793685691955,Review
PRV51807,7,98000,14000.0,1740.6793685691955,Review
PRV51831,2,28000,14000.0,1740.6793685691955,Review
PRV52536,1,14000,14000.0,1740.6793685691955,Review
PRV53515,1,14000,14000.0,1740.6793685691955,Review
PRV53857,10,140000,14000.0,1740.6793685691955,Review
PRV55161,2,28000,14000.0,1740.6793685691955,Review
PRV56124,6,84000,14000.0,1740.6793685691955,Review
PRV53379,11,153000,13909.09090909091,1740.6793685691955,Review
PRV55128,8,111000,13875.0,1740.6793685691955,Review
PRV51821,10,138000,13800.0,1740.6793685691955,Review
PRV54202,10,137000,13700.0,1740.6793685691955,Review
PRV54638,6,82000,13666.666666666666,1740.6793685691955,Review
PRV54501,3,40000,13333.333333333334,1740.6793685691955,Review
PRV54200,13,173090,13314.615384615385,1740.6793685691955,Review
PRV51811,15,199000,13266.666666666666,1740.6793685691955,Review
PRV55658,15,196400,13093.333333333334,1740.6793685691955,Review
PRV51806,1,13000,13000.0,1740.6793685691955,Review
PRV52457,9,117000,13000.0,1740.6793685691955,Review
PRV54812,12,156000,13000.0,1740.6793685691955,Review
PRV54883,1,13000,13000.0,1740.6793685691955,Review
PRV52972,17,220000,12941.176470588236,1740.6793685691955,Review
PRV52446,10,129000,12900.0,1740.6793685691955,Review
PRV55791,10,129000,12900.0,1740.6793685691955,Review
PRV56912,7,90000,12857.142857142857,1740.6793685691955,Review
PRV51585,6,77080,12846.666666666666,1740.6793685691955,Review
PRV52282,6,77000,12833.333333333334,1740.6793685691955,Review
PRV55136,8,102000,12750.0,1740.6793685691955,Review
PRV53763,58,739000,12741.379310344828,1740.6793685691955,Review
PRV52810,6,76000,12666.666666666666,1740.6793685691955,Review
PRV54298,3,38000,12666.666666666666,1740.6793685691955,Review
PRV54461,12,152000,12666.666666666666,1740.6793685691955,Review
PRV56329,14,177000,12642.857142857143,1740.6793685691955,Review
PRV51826,21,265000,12619.047619047618,1740.6793685691955,Review
PRV57631,18,227000,12611.111111111111,1740.6793685691955,Review
PRV53114,29,364680,12575.172413793103,1740.6793685691955,Review
PRV57481,62,776000,12516.129032258064,1740.6793685691955,Review
PRV54052,6,75000,12500.0,1740.6793685691955,Review
PRV54500,2,25000,12500.0,1740.6793685691955,Review
PRV56123,40,498000,12450.0,1740.6793685691955,Review
PRV52266,37,460400,12443.243243243243,1740.6793685691955,Review
PRV56134,62,768000,12387.09677419355,1740.6793685691955,Review
PRV57295,14,173000,12357.142857142857,1740.6793685691955,Review
PRV57016,16,197600,12350.0,1740.6793685691955,Review
PRV51102,12,148000,12333.333333333334,1740.6793685691955,Review
PRV57629,10,122300,12230.0,1740.6793685691955,Review
PRV52292,25,303000,12120.0,1740.6793685691955,Review
PRV57049,22,266560,12116.363636363636,1740.6793685691955,Review
PRV51236,1,12000,12000.0,1740.6793685691955,Review
PRV52195,10,120000,12000.0,1740.6793685691955,Review
PRV54498,1,12000,12000.0,1740.6793685691955,Review
PRV54820,1,12000,12000.0,1740.6793685691955,Review
PRV55160,10,120000,12000.0,1740.6793685691955,Review
PRV55706,1,12000,12000.0,1740.6793685691955,Review
PRV55793,6,72000,12000.0,1740.6793685691955,Review
PRV55810,1,12000,12000.0,1740.6793685691955,Review
PRV56288,2,24000,12000.0,1740.6793685691955,Review
PRV55456,6,71300,11883.333333333334,1740.6793685691955,Review
PRV53461,36,425080,11807.777777777777,1740.6793685691955,Review
PRV52978,5,59000,11800.0,1740.6793685691955,Review
PRV51248,2,23500,11750.0,1740.6793685691955,Review
PRV55668,4,47000,11750.0,1740.6793685691955,Review
PRV53591,6,70000,11666.666666666666,1740.6793685691955,Review
PRV56914,6,70000,11666.666666666666,1740.6793685691955,Review
PRV52173,119,1381400,11608.403361344537,1740.6793685691955,Review
PRV51121,7,81080,11582.857142857143,1740.6793685691955,Review
PRV57017,23,266100,11569.565217391304,1740.6793685691955,Review
PRV57023,15,173000,11533.333333333334,1740.6793685691955,Review
PRV57091,4,46000,11500.0,1740.6793685691955,Review
PRV57403,15,172000,11466.666666666666,1740.6793685691955,Review
PRV57146,9,103000,11444.444444444445,1740.6793685691955,Review
PRV54675,37,422000,11405.405405405405,1740.6793685691955,Review
PRV52197,10,114000,11400.0,1740.6793685691955,Review
PRV51119,95,1080580,11374.526315789473,1740.6793685691955,Review
PRV55659,20,227000,11350.0,1740.6793685691955,Review
PRV52979,6,68000,11333.333333333334,1740.6793685691955,Review
PRV53336,3,34000,11333.333333333334,1740.6793685691955,Review
PRV51523,65,733810,11289.384615384615,1740.6793685691955,Review
PRV55430,7,79000,11285.714285714286,1740.6793685691955,Review
PRV56336,21,237000,11285.714285714286,1740.6793685691955,Review
PRV57081,37,414000,11189.18918918919,1740.6793685691955,Review
PRV56129,23,256000,11130.434782608696,1740.6793685691955,Review
PRV55472,23,255090,11090.869565217392,1740.6793685691955,Review
PRV51813,10,110000,11000.0,1740.6793685691955,Review
PRV54499,1,11000,11000.0,1740.6793685691955,Review
PRV55134,1,11000,11000.0,1740.6793685691955,Review
PRV55887,6,66000,11000.0,1740.6793685691955,Review
PRV56119,11,120000,10909.09090909091,1740.6793685691955,Review
PRV55670,9,98000,10888.888888888889,1740.6793685691955,Review
PRV56541,54,584000,10814.814814814816,1740.6793685691955,Review
PRV55132,10,108000,10800.0,1740.6793685691955,Review
PRV57073,10,108000,10800.0,1740.6793685691955,Review
PRV56057,9,97000,10777.777777777777,1740.6793685691955,Review
PRV56285,13,140000,10769.23076923077,1740.6793685691955,Review
PRV57489,17,182000,10705.882352941177,1740.6793685691955,Review
PRV52466,13,139000,10692.307692307691,1740.6793685691955,Review
PRV51927,6,64050,10675.0,1740.6793685691955,Review
PRV53236,9,96000,10666.666666666666,1740.6793685691955,Review
PRV56673,4,42640,10660.0,1740.6793685691955,Review
PRV55375,14,147900,10564.285714285714,1740.6793685691955,Review
PRV51979,13,136000,10461.538461538461,1740.6793685691955,Review
PRV54718,29,302000,10413.793103448275,1740.6793685691955,Review
PRV56342,5,52000,10400.0,1740.6793685691955,Review
PRV57251,15,156000,10400.0,1740.6793685691955,Review
PRV57285,8,83000,10375.0,1740.6793685691955,Review
PRV56895,14,145000,10357.142857142857,1740.6793685691955,Review
PRV56916,11,113700,10336.363636363636,1740.6793685691955,Review
PRV56007,81,836930,10332.469135802468,1740.6793685691955,Review
PRV57141,17,175530,10325.29411764706,1740.6793685691955,Review
PRV55916,127,1311040,10323.149606299212,1740.6793685691955,Review
PRV55830,10,103120,10312.0,1740.6793685691955,Review
PRV55444,128,1313260,10259.84375,1740.6793685691955,Review
PRV54060,16,164000,10250.0,1740.6793685691955,Review
PRV55664,20,205000,10250.0,1740.6793685691955,Review
PRV55483,76,778040,10237.368421052632,1740.6793685691955,Review
PRV55145,14,143000,10214.285714285714,1740.6793685691955,Review
PRV54497,5,51000,10200.0,1740.6793685691955,Review
PRV55374,33,335000,10151.515151515152,1740.6793685691955,Review
PRV52178,136,1379590,10144.04411764706,1740.6793685691955,Review
PRV52459,50,505900,10118.0,1740.6793685691955,Review
PRV55193,44,444380,10099.545454545454,1740.6793685691955,Review
PRV51828,11,111000,10090.90909090909,1740.6793685691955,Review
PRV57018,33,332690,10081.515151515152,1740.6793685691955,Review
PRV55667,38,382180,10057.368421052632,1740.6793685691955,Review
PRV53865,6,60000,10000.0,1740.6793685691955,Review
PRV54789,3,30000,10000.0,1740.6793685691955,Review
PRV54824,10,100000,10000.0,1740.6793685691955,Review
PRV55143,1,10000,10000.0,1740.6793685691955,Review
PRV55151,1,10000,10000.0,1740.6793685691955,Review
PRV55606,4,40000,10000.0,1740.6793685691955,Review
PRV56202,1,10000,10000.0,1740.6793685691955,Review
PRV57098,49,490000,10000.0,1740.6793685691955,Review
