"Provider","claim_count","total_reimbursed","avg_claim_value","overall_avg_claim","review_flag"
PRV52537,1,57000,57000.0,1740.6793685691955,Review
PRV57080,1,57000,57000.0,1740.6793685691955,Review
PRV57399,1,57000,57000.0,1740.6793685691955,Review
PRV53033,2,75000,37500.0,1740.6793685691955,Review
PRV52804,1,36000,36000.0,1740.6793685691955,Review
PRV52696,3,96000,32000.0,1740.6793685691955,Review
PRV55067,1,29000,29000.0,1740.6793685691955,Review
PRV55431,2,58000,29000.0,1740.6793685691955,Review
PRV56903,2,57000,28500.0,1740.6793685691955,Review
PRV57290,2,55000,27500.0,1740.6793685691955,Review
PRV52458,1,27000,27000.0,1740.6793685691955,Review
PRV51232,1,26000,26000.0,1740.6793685691955,Review
PRV55133,2,50000,25000.0,1740.6793685691955,Review
PRV55131,2,47000,23500.0,1740.6793685691955,Review
PRV56286,1,23000,23000.0,1740.6793685691955,Review
PRV51805,3,67000,22333.333333333332,1740.6793685691955,Review
PRV53220,5,110000,22000.0,1740.6793685691955,Review
PRV52449,6,126000,21000.0,1740.6793685691955,Review
PRV54297,8,168000,21000.0,1740.6793685691955,Review
PRV55586,2,42000,21000.0,1740.6793685691955,Review
